,January,February,March,April,May,June,July,August,September,October,November,December
sagebrush,0.9,0.9,0.9,0.95,0.95,1,1,1,1,0.95,0.95,0.9
a.cool.forb,0,0.2,0.5,0.8,1,1,0.5,0.3,0.2,0.1,0,0
a.warm.forb,0,0,0.2,0.5,0.8,1,1,0.5,0.3,0.2,0.1,0
p.cool.forb,0.5,0.5,0.5,0.7,0.9,1,1,1,0.9,0.7,0.5,0.5
p.warm.forb,0.5,0.5,0.5,0.5,0.7,0.9,1,1,1,0.9,0.7,0.5
a.cool.grass,0.5,0.7,0.9,1,1,0.9,0.9,0.7,0.5,0.5,0.5,0.5
p.cool.grass,0.5,0.5,0.5,0.7,0.9,1,1,1,0.9,0.7,0.5,0.5
p.warm.grass,0.5,0.5,0.5,0.5,0.7,0.9,1,1,1,0.9,0.7,0.5
shrub,0.9,0.9,0.9,0.95,0.95,1,1,1,1,0.95,0.9,0.9
succulents,0.95,0.95,0.95,0.95,1,1,1,1,1,0.95,0.95,0.95
